sched,Tid,worker,taskType,JobId,start,duration,end
dmdas,0,5,dplrnt,20001,0,5076.19,5076.19
dmdas,1,6,dplrnt,20002,0,5076.19,5076.19
dmdas,2,7,dplrnt,20003,0,5076.19,5076.19
dmdas,3,8,dplrnt,20004,0,5076.19,5076.19
dmdas,4,9,dplrnt,20005,0,5076.19,5076.19
dmdas,5,10,dplrnt,20006,0,5076.19,5076.19
dmdas,6,11,dplrnt,20007,0,5076.19,5076.19
dmdas,7,12,dplrnt,20008,0,5076.19,5076.19
dmdas,8,13,dplrnt,20009,0,5076.19,5076.19
dmdas,9,14,dplrnt,200010,0,5076.19,5076.19
dmdas,10,15,dplrnt,200011,0,5076.19,5076.19
dmdas,11,16,dplrnt,200012,0,5076.19,5076.19
dmdas,12,17,dplrnt,200013,0,5076.19,5076.19
dmdas,13,18,dplrnt,200014,0,5076.19,5076.19
dmdas,14,5,dplrnt,200015,5076.19,5076.19,10152.4
dmdas,15,6,dplrnt,200016,5076.19,5076.19,10152.4
dmdas,16,7,dplrnt,200017,5076.19,5076.19,10152.4
dmdas,17,8,dplrnt,200018,5076.19,5076.19,10152.4
dmdas,18,9,dplrnt,200019,5076.19,5076.19,10152.4
dmdas,19,10,dplrnt,200020,5076.19,5076.19,10152.4
dmdas,20,11,dplrnt,200021,5076.19,5076.19,10152.4
dmdas,21,12,dplrnt,200022,5076.19,5076.19,10152.4
dmdas,22,13,dplrnt,200023,5076.19,5076.19,10152.4
dmdas,23,14,dplrnt,200024,5076.19,5076.19,10152.4
dmdas,24,15,dplrnt,200025,5076.19,5076.19,10152.4
dmdas,25,16,dplrnt,200026,5076.19,5076.19,10152.4
dmdas,26,17,dplrnt,200027,5076.19,5076.19,10152.4
dmdas,27,18,dplrnt,200028,5076.19,5076.19,10152.4
dmdas,28,5,dplrnt,200029,10152.4,5076.19,15228.6
dmdas,29,6,dplrnt,200030,10152.4,5076.19,15228.6
dmdas,30,7,dplrnt,200031,10152.4,5076.19,15228.6
dmdas,31,8,dplrnt,200032,10152.4,5076.19,15228.6
dmdas,32,3,dgetrf_nopiv,2000129,0,25733.4,25733.4
dmdas,33,3,dtrsm,2000130,25733.4,35262.2,60995.7
dmdas,34,7,dtrsm,2000131,25733.4,35262.2,60995.7
dmdas,35,9,dtrsm,2000132,25733.4,35262.2,60995.7
dmdas,36,10,dtrsm,2000133,25733.4,35262.2,60995.7
dmdas,37,11,dtrsm,2000134,25733.4,35262.2,60995.7
dmdas,38,12,dtrsm,2000135,25733.4,35262.2,60995.7
dmdas,39,13,dtrsm,2000136,25733.4,35262.2,60995.7
dmdas,40,5,dtrsm,2000153,25733.4,35262.2,60995.7
dmdas,41,3,dgemm,2000154,60995.7,58349.8,119345
dmdas,42,6,dgemm,2000155,60995.7,58349.8,119345
dmdas,43,8,dgemm,2000156,119345,58349.8,177695
dmdas,44,11,dgemm,2000157,119345,58349.8,177695
dmdas,45,13,dgemm,2000158,119345,58349.8,177695
dmdas,46,2,dgemm,2000159,151962,58349.8,210312
dmdas,47,15,dgemm,2000160,151962,58349.8,210312
dmdas,48,6,dtrsm,2000161,25733.4,35262.2,60995.7
dmdas,49,5,dgemm,2000162,60995.7,58349.8,119345
dmdas,50,9,dgemm,2000163,60995.7,58349.8,119345
dmdas,51,12,dgemm,2000164,119345,58349.8,177695
dmdas,52,1,dgemm,2000165,151962,58349.8,210312
dmdas,53,4,dgemm,2000166,151962,58349.8,210312
dmdas,54,16,dgemm,2000167,151962,58349.8,210312
dmdas,55,18,dgemm,2000168,151962,58349.8,210312
dmdas,56,8,dtrsm,2000169,25733.4,35262.2,60995.7
dmdas,57,7,dgemm,2000170,119345,58349.8,177695
dmdas,58,10,dgemm,2000171,119345,58349.8,177695
dmdas,59,0,dgemm,2000172,151962,58349.8,210312
dmdas,60,14,dgemm,2000173,151962,58349.8,210312
dmdas,61,17,dgemm,2000174,151962,58349.8,210312
dmdas,62,3,dgemm,2000175,177695,58349.8,236045
dmdas,63,5,dgemm,2000176,177695,58349.8,236045
dmdas,64,7,dtrsm,2000179,177695,35262.2,212957
