Parent, Name, Type, Nature
0, 0, 0, Container
0, root, MPI Program, Container
root, MPI communication, MPI communication, Link
root, program, Program, Container
program, Intra-node data Fetch, Intra-node data Fetch, Link
program, Intra-node data IdleFetch, Intra-node data IdleFetch, Link
program, Intra-node data PreFetch, Intra-node data PreFetch, Link
program, Work steal, Work steal, Link
program, Task Pop, Task Pop, Event
program, program event type, program event type, Event
program, Task Push, Task Push, Event
program, data registration, data registration, Event
program, data unregistration, data unregistration, Event
program, user event type, user event type, Event
program, UserThread36040, User Thread, Container
UserThread36040, User Thread State, User Thread State, State
UserThread36040, thread event type, thread event type, Event
UserThread36040, user event type, user event type, Event
program, scheduler, Scheduler State, Container
scheduler, Total GFlops, Total GFlops, Variable
scheduler, Number of Ready Tasks, Number of Ready Tasks, Variable
scheduler, Number of Submitted Uncompleted Tasks, Number of Submitted Uncompleted Tasks, Variable
program, MEMNODE0, Memory Node, Container
MEMNODE0, T18, Thread, Container
T18, Thread State, Thread State, State
T18, thread event type, thread event type, Event
T18, CPU9, Worker, Container
CPU9, InCtx1, InCtx1, State
CPU9, InCtx2, InCtx2, State
CPU9, InCtx3, InCtx3, State
CPU9, InCtx4, InCtx4, State
CPU9, InCtx5, InCtx5, State
CPU9, InCtx6, InCtx6, State
CPU9, InCtx7, InCtx7, State
CPU9, InCtx8, InCtx8, State
CPU9, InCtx9, InCtx9, State
CPU9, Worker State, Worker State, State
CPU9, GFlops, GFlops, Variable
MEMNODE0, T16, Thread, Container
T16, Thread State, Thread State, State
T16, thread event type, thread event type, Event
T16, CPU8, Worker, Container
CPU8, InCtx1, InCtx1, State
CPU8, InCtx2, InCtx2, State
CPU8, InCtx3, InCtx3, State
CPU8, InCtx4, InCtx4, State
CPU8, InCtx5, InCtx5, State
CPU8, InCtx6, InCtx6, State
CPU8, InCtx7, InCtx7, State
CPU8, InCtx8, InCtx8, State
CPU8, InCtx9, InCtx9, State
CPU8, Worker State, Worker State, State
CPU8, GFlops, GFlops, Variable
MEMNODE0, T14, Thread, Container
T14, Thread State, Thread State, State
T14, thread event type, thread event type, Event
T14, CPU7, Worker, Container
CPU7, InCtx1, InCtx1, State
CPU7, InCtx2, InCtx2, State
CPU7, InCtx3, InCtx3, State
CPU7, InCtx4, InCtx4, State
CPU7, InCtx5, InCtx5, State
CPU7, InCtx6, InCtx6, State
